Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,34.5,34.5,34.5,34.5,34.5,0
2021-06-16,34.5,34.5,34.5,34.5,34.5,0
2021-06-17,34.5,34.5,34.5,34.5,34.5,0
2021-06-18,34.5,34.5,34.5,34.5,34.5,0
2021-06-21,34.5,34.5,34.5,34.5,34.5,0
2021-06-29,34.5,34.5,34.5,34.5,34.5,0
2021-06-30,34.5,34.5,34.5,34.5,34.5,0
2021-07-01,34.5,34.5,34.5,34.5,34.5,0
2021-07-02,34.5,34.5,34.5,34.5,34.5,0
2021-07-06,34.5,34.5,34.5,34.5,34.5,0
2021-07-07,34.5,34.5,34.5,34.5,34.5,0
2021-07-08,34.5,34.5,34.5,34.5,34.5,0
2021-07-09,34.5,34.5,34.5,34.5,34.5,0
2021-07-12,34.5,34.5,34.5,34.5,34.5,0
2021-07-13,34.5,34.5,34.5,34.5,34.5,0
2021-07-14,34.5,34.5,34.5,34.5,34.5,0
2021-07-15,34.5,34.5,34.5,34.5,34.5,0
2021-07-16,34.5,34.5,34.5,34.5,34.5,0
2021-07-19,34.5,34.5,34.5,34.5,34.5,0
2021-07-20,34.5,34.5,34.5,34.5,34.5,0
2021-07-21,34.5,34.5,34.5,34.5,34.5,0
2021-07-22,34.5,34.5,34.5,34.5,34.5,0
2021-07-23,34.5,34.5,34.5,34.5,34.5,0
2021-07-26,34.5,34.5,34.5,34.5,34.5,0
2021-07-27,34.5,34.5,34.5,34.5,34.5,0
2021-07-28,34.5,34.5,34.5,34.5,34.5,0
2021-07-29,34.5,34.5,34.5,34.5,34.5,0
2021-07-30,34.5,34.5,34.5,34.5,34.5,0
2021-08-02,34.5,34.5,34.5,34.5,34.5,0
2021-08-03,34.5,34.5,34.5,34.5,34.5,0
2021-08-04,34.5,34.5,34.5,34.5,34.5,0
2021-08-05,34.5,34.5,34.5,34.5,34.5,0
2021-08-06,34.5,34.5,34.5,34.5,34.5,0
2021-08-10,34.5,34.5,34.5,34.5,34.5,0
2021-08-11,34.5,34.5,34.5,34.5,34.5,0
2021-08-12,34.5,34.5,34.5,34.5,34.5,0
2021-08-13,34.5,34.5,34.5,34.5,34.5,0
2021-08-16,34.5,34.5,34.5,34.5,34.5,0
2021-08-17,34.5,34.5,34.5,34.5,34.5,0
2021-08-18,34.5,34.5,34.5,34.5,34.5,0
2021-08-19,34.5,34.5,34.5,34.5,34.5,0
2021-08-20,34.5,34.5,34.5,34.5,34.5,0
2021-08-23,34.5,34.5,34.5,34.5,34.5,0
2021-08-24,34.5,34.5,34.5,34.5,34.5,0
2021-08-25,34.5,34.5,34.5,34.5,34.5,0
2021-08-26,34.5,34.5,34.5,34.5,34.5,0
2021-08-27,34.5,34.5,34.5,34.5,34.5,0
2021-08-30,34.5,34.5,34.5,34.5,34.5,0
2021-08-31,34.5,34.5,34.5,34.5,34.5,0
2021-09-01,34.5,34.5,34.5,34.5,34.5,0
2021-09-02,34.5,34.5,34.5,34.5,34.5,0
2021-09-03,34.5,34.5,34.5,34.5,34.5,0
2021-09-07,34.5,34.5,34.5,34.5,34.5,0
2021-09-08,34.5,34.5,34.5,34.5,34.5,0
2021-09-09,34.5,34.5,34.5,34.5,34.5,0
2021-09-10,34.5,34.5,34.5,34.5,34.5,0
2021-09-13,34.5,34.5,34.5,34.5,34.5,0
2021-09-14,34.5,34.5,34.5,34.5,34.5,0
2021-09-15,34.5,34.5,34.5,34.5,34.5,0
2021-09-16,34.5,34.5,34.5,34.5,34.5,0
2021-09-17,34.5,34.5,34.5,34.5,34.5,0
2021-09-20,34.5,34.5,34.5,34.5,34.5,0
2021-09-21,34.5,34.5,34.5,34.5,34.5,0
2021-09-22,34.5,34.5,34.5,34.5,34.5,0
2021-09-23,34.5,34.5,34.5,34.5,34.5,0
2021-09-24,34.5,34.5,34.5,34.5,34.5,0
